code|code_type|name|latitude|longitude
AKK|iata|Akhiok|56.9387|-154.1826
AKL|iata|Auckland International Apt|-37.0081|174.7917
AKN|iata|King Salmon|58.6768|-156.6492
AKP|iata|Anaktuvuk Pass|68.1336|-151.7433
AKR|iata|AKURE|7.25|5.3042
AKS|iata|Auki|-8.6978|160.6808
AKT|iata|AKROTIRI|34.5903|32.9878
AKU|iata|Aksu|41.2625|80.2917
AKV|iata|Akulivik|60.8186|-78.1486
AKX|iata|Aktobe|50.2458|57.2067
AKY|iata|Sittwe|20.1329|92.876
ALA|iata|Almaty|43.3519|77.0406
ALB|iata|Albany International Airport|42.7483|-73.8017
ALC|iata|Alicante|38.2822|-0.5582
ALF|iata|Alta|69.9761|23.3717
ALG|iata|Algiers|36.6944|3.2169
ALH|iata|Albany|-34.9433|117.8083
ALI|iata|ALICE INTL|27.7417|-98.0267
ALJ|iata|ALEXANDER BAY|-28.5733|16.535
ALL|iata|ALBENGA|44.0467|8.1264
ALM|iata|Alamogordo|32.8399|-105.9906
ALN|iata|ALTON/ST. LOUIS REGIONAL|38.89|-90.0467
ALO|iata|Waterloo|42.5572|-92.4033
ALP|iata|Aleppo|36.1797|37.2261
ALR|iata|ALEXANDRA|-45.2117|169.3733
ALS|iata|Alamosa|37.4349|-105.8666
ALW|iata|Walla Walla|46.0946|-118.2879
ALY|iata|ALEXANDRIA INTL|31.1817|29.9464
ALZ|iata|Alitak|56.8958|-154.2458
AMA|iata|Amarillo International Apt|35.2194|-101.7059
AMD|iata|Ahmedabad|23.0712|72.6264
AMH|iata|Arba Minch|6.0394|37.5905
AMI|iata|MATARAM/SELAPARANG|-8.562|116.0994
AMJ|iata|ALMENARA|-16.1833|-40.6667
AMM|iata|Amman Queen Alia International Apt|31.7226|35.9932
AMQ|iata|Ambon|-3.707|128.0897
AMS|iata|Amsterdam|52.3081|4.7642
AMV|iata|AMDERMA|69.7633|61.5633
AMY|iata|Ambatomainty|-17.683|45.617
AMZ|iata|ARDMORE|-37.0297|174.9733
ANB|iata|ANNISTON METROPOLITAN|33.5881|-85.8581
ANC|iata|Anchorage International Apt|61.1744|-149.9964
AND|iata|ANDERSON|34.495|-82.7097
ANE|iata|Angers Marce Airport|47.5603|-0.3122
ANF|iata|Antofagasta|-23.4444|-70.445
ANG|iata|ANGOULEME/ BRIE CHAMPNIERS|45.7294|0.2192
ANI|iata|Aniak|61.5816|-159.543
ANJ|iata|SAULT STE MARIE MUNI/SANDERSON|46.4792|-84.3684
ANK|iata|ANKARA/ETIMESGUT|39.9575|32.6744
ANM|iata|Antalaha|-14.9994|50.3202
ANN|iata|ANNETTE ISLAND|55.0425|-131.5722
ANO|iata|ANGOCHE|-16.1833|39.9333
ANR|iata|Antwerp|51.1894|4.4603
ANS|iata|Andahuaylas|-13.7042|-73.3481
ANU|iata|Antigua|17.1367|-61.7928
ANV|iata|Anvik|62.6467|-160.1907
ANW|iata|AINSWORTH|42.58|-99.9933
ANX|iata|Andenes|69.2925|16.1442
AOC|iata|ALTENBURG-NOBITZ|50.9818|12.5064
AOE|iata|Eskisehir|39.8117|30.5286
AOG|iata|Anshan|41.1053|122.8539
AOI|iata|Ancona|43.6167|13.3603
AOJ|iata|Aomori|40.7347|140.6908
AOK|iata|Karpathos|35.4167|27.15
AOL|iata|PASO DE LOS LIBRES|-29.6881|-57.1522
AOO|iata|Altoona|40.2964|-78.32
AOQ|iata|Aappilattoq|72.8869|-55.5961
AOR|iata|Alor Setar|6.1944|100.4008
AOS|iata|Amook|57.4667|-153.8333
AOT|iata|AOSTA|45.7386|7.3681
AOU|iata|ATTOPEU|14.8|106.8167
AOX|iata|YUBILEYNYI/BAJKONUR|46.0525|63.2492
APA|iata|DENVER/ARAPAHOE/CENTENNIAL|39.5701|-104.8493
APC|iata|NAPA CO|38.2131|-122.2806
APF|iata|Naples|26.1526|-81.7753
APG|iata|PHILLIPS AAF (ABERDEEN PG)|39.4662|-76.1688
API|iata|GOMEZ NINO APIAY AB|4.0761|-73.5627
APK|iata|Apataki|-15.5736|-146.4153
APL|iata|Nampula|-15.1|39.2833
APN|iata|Alpena|45.0781|-83.5603
APO|iata|Apartado|7.033|-77.2
APS|iata|ANAPOLIS|-16.3619|-48.9275
APU|iata|APUCARANA|-23.6117|-51.3844
APV|iata|APPLE VALLEY|34.5753|-117.1862
APW|iata|Apia Faleolo Apt|-13.8297|-171.9972
APX|iata|ARAPONGAS|-23.3625|-51.4792
AQA|iata|ARARAQUARA|-21.8039|-48.1397
AQG|iata|Anqing|30.5822|117.0503
AQI|iata|Qaisumah|28.3352|46.1249
AQJ|iata|Aqaba|29.6116|35.0181
AQP|iata|Arequipa|-16.3403|-71.5728
ARA|iata|NEW IBERIA/ACADIANA RGNL|30.0378|-91.8839
ARC|iata|Arctic Village|68.1147|-145.5794
ARH|iata|Arkhangelsk|64.6|40.7183
ARI|iata|Arica|-18.3486|-70.3386
ARK|iata|Arusha|-3.3678|36.6333
ARM|iata|Armidale|-30.53|151.6175
ARN|iata|Stockholm Arlanda Apt|59.6519|17.9186
ARS|iata|ARAGARCAS|-15.8989|-52.2403
ART|iata|Watertown|43.9919|-76.0217
ARU|iata|Aracatuba|-21.1436|-50.4258
ARV|iata|Minocqua-Woodruff|45.9279|-89.7309
ARW|iata|Arad|46.1765|21.262
ARY|iata|ARARAT|-37.3119|142.9906
ASA|iata|ASSAB|13.0667|42.6333
ASB|iata|Ashgabat|37.9917|58.3633
ASD|iata|Andros Town|24.6983|-77.7956
ASE|iata|Aspen|39.2232|-106.8688
ASF|iata|Astrakhan|46.2833|48.0083
ASI|iata|ASCENSION AUX AB WIDEAWAKE|-7.97|-14.3933
ASJ|iata|Amami O Shima|28.4308|129.7126
ASK|iata|YAMOUSSOUKRO|6.9061|-5.3626
ASM|iata|Asmara|15.2842|38.9
ASO|iata|Asosa|10.0185|34.5863
ASP|iata|Alice Springs Airport|-23.8067|133.9017
ASR|iata|Kayseri|38.7703|35.4953
AST|iata|ASTORIA|44.8373|-117.8075
ASU|iata|Asuncion|-25.2411|-57.5168
ASV|iata|Amboseli|-2.633|37.25
ASW|iata|Aswan|23.9644|32.82
ATA|iata|Anta|-9.3436|-77.5958
ATB|iata|ATBARA|17.7097|34.0574
ATC|iata|Arthurs Town Airport|24.67|-75.75
ATD|iata|Atoifi|-8.8733|161.0114
ATF|iata|AMBATO/CHACHOAN|-1.2119|-78.5747
ATH|iata|Athens|37.9367|23.9445
ATK|iata|Atqasuk|70.4673|-157.4357
ATL|iata|Atlanta Hartsfield-Jackson Intl Apt|33.6367|-84.4281
ATM|iata|Altamira|-3.2506|-52.2517
ATN|iata|Namatanai|-3.667|152.433
ATQ|iata|Amritsar|31.7044|74.8021
ATR|iata|ATAR|20.5008|-13.0467
ATT|iata|Atmautluak|60.8667|-162.2731
ATW|iata|Appleton|44.2581|-88.5191
ATY|iata|Watertown|44.914|-97.1547
ATZ|iata|Asyut|27.0464|31.0119
AUA|iata|Aruba|12.5014|-70.0152
AUC|iata|Arauca|7.0689|-70.7369
AUF|iata|AUXERRE/BRANCHES|47.8464|3.4967
AUG|iata|Augusta|44.32|-69.7967
AUH|iata|Abu Dhabi International Apt|24.4367|54.6508
AUK|iata|Alakanuk|62.68|-164.6599
AUL|iata|XXX|8.1333|171.1667
AUQ|iata|Hiva Oa|-9.7667|-139.0167
AUR|iata|Aurillac|44.8975|2.4167
AUS|iata|Austin-Bergstrom International Apt|30.195|-97.67
AUU|iata|Aurukun|-13.3539|141.7208
AUW|iata|WAUSAU DOWNTOWN|44.9285|-89.6266
AUX|iata|Araguaina|-7.2281|-48.2403
AUY|iata|Aneityum|-20.2492|169.7714
AVA|iata|Anshun|26.2606|105.8731
AVB|iata|AVIANO|45.925|12.4292
AVI|iata|CIEGO DE AVILA MAXIMO GOMEZ|22.0269|-78.7894
AVL|iata|Asheville|35.4367|-82.5417
AVN|iata|Avignon Caumont Airport|43.9067|4.9019
